DESCRIPCION," COSTO SIN IVA",Agregar Entrada,Agregar Salida,CODIGO PROVEEDOR,Cantidad Actual,Costo Unitario,Existencia Sum,ID,"PVP UN ",PVP min,💱 Entada y Salida de Productos
PEDAL DE FRENO SCRAMBLER,$5.47,,,34B040301-00,0,$6.29,0,471,$10.69,$10.06,
TELESCOPICAS (I-D) COMANDER 200,$45.00,,,CGB200CMD-005,0,$51.75,0,3207,$87.98,$82.80,
TAPA MOTOR IZQ GTR. 200,$16.90,,,CGB200GTR-040,0,$19.44,0,4796,$33.04,$31.10,
KIT PISTAS DIRECCION GP1-R/XPOWER/CHIEF II/CHIEF II PRO/FK370/DRAKON F300/LA BESTIA 400/SHIFT 500CC,$4.50,,,FE250GP1R-023,0,$5.18,0,1484,$8.80,$8.28,
KIT FRENO DEL. AGILITY,$20.00,,,CB180AGTY-024,0,$23.00,0,4484,$39.10,$36.80,
BOCIN TRINCHE MT110 (2PCS),$0.68,,,BOC-T5911,0,$0.78,0,3520,$1.33,$1.25,
DEPURADOR AIRE CX7-EVO.,$15.00,,,CB110CX79C-160.,0,$17.25,0,186,$29.33,$27.60,
JUEGO DE TELESCOPICAS TRZ,$113.07,,,01B170203-00,0,$130.03,0,3377,$221.05,$208.05,
KIT REPARACION SELECTOR DE CAMBIOS XCAPE 650,$61.91,,,181010-P14A-0000,0,$71.20,0,3146,$121.03,$113.91,
CARTER IZQ. SPITFIRE 250,$44.01,,,CGB250SPF-068,0,$50.61,0,2110,$86.04,$80.98,
VELOCIMETRO DIGITAL WING EVO II 2024,$45.00,,,CG200WINGEV-003,0,$51.75,0,2201,$87.98,$82.80,
FARO Y MASCARILLA SPITFIRE 150 ROJO,$40.30,,,CG150SPF-016R,0,$46.35,0,3368,$78.79,$74.15,
CABLE ACELERADOR 970MM ARTIC 250,$1.50,,,FE250ART-028,0,$1.73,0,951,$2.93,$2.76,
MASCARILLA COMP. XPOWER 250 N-NARANJA,$35.00,,,CBB250XP-001SMT,0,$40.25,0,3633,$68.43,$64.40,
PROTEC. MOTOR CAMARA DE VENTILACION BIT 125CC,$5.00,,,CB125BIT-057,0,$5.75,0,3939,$9.78,$9.20,
SENSOR INDICADOR CAMBIOS XCAPE 650,$24.00,,,112026-P14A-0000,0,$27.60,0,2146,$46.92,$44.16,
ESPEJOS (I-D) GP1-R 250/FACTORY F370/SHM CHIEF II/CHIEF 2.5/CHIEF II PRO//THUNDER F22 250CC,$10.00,,,FE250GP1R-007,0,$11.50,0,3125,$19.55,$18.40,
KIT RODAMIENTOS MOTOR TEKKEN/SCRAMBLER/ADVR250/CROSSFIRE/GP1/LRE250,$20.00,,,CB250-418,0,$23.00,0,258,$39.10,$36.80,
MANUBRIOS Y PESAS (I-D) XPOWER/GP1R/THD SR71/PEGASSO DUKK 250CC/FACTORY FZ 300CC,$8.00,,,CBB250XP-085,0,$9.20,0,2030,$15.64,$14.72,
CATALINA 42D Y CADENA 520-NG CROSSFIRE/XTREEM/THUNDER F16/DK HORNET/IGM WIND250/Z1 V8200,$20.00,,,CB250CRF-059,0,$23.00,0,1008,$39.10,$36.80,
ARBOL LEVAS ADMISION XCAPE 650,$73.73,,,142004-P14A-0000,0,$84.79,0,321,$144.14,$135.66,
JUEGO DE DISCOS DE FRENO XTREEM 250,$19.77,,,56B060217-00,0,$22.74,0,4246,$38.65,$36.38,
ESTRIBO POST. (I-D) WING EVO 200,$12.00,,,CG200WEV-022,0,$13.80,0,5007,$23.46,$22.08,
BASE CARBURADOR D32.5MM FE250 TEKKEN/GP1R/XPOWER/ARTIC/GP1,$5.00,,,FE250-015,0,$5.75,0,4734,$9.78,$9.20,
FARO TEKKEN EVO 250,$30.00,,,CB250TKN-065,0,$34.50,0,606,$58.65,$55.20,
PINON VELOCIMETRO DIGITAL EJE 12MM/3PIN EIVISSA/AXXO MILANO 150CC,$8.00,,,CB150EIV-048,0,$9.20,0,482,$15.64,$14.72,
KIT EMPAQUES HUNTER 200CC 2025,$6.00,,,CB200HTR-012,0,$6.90,0,4942,$11.73,$11.04,
PLACA LAT. (I-D) SCRAMBLER REV/CLASICA/AXXO SCRAMBLER 250CC,$18.00,,,CB250SCB-030,0,$20.70,0,2117,$35.19,$33.12,
BALANCINES DE VALVULA TRZ SPORT,$3.74,,,902242,0,$4.30,0,4370,$7.31,$6.88,
CILINDRO COMPL CB200 198CC 69MM MTR,$29.57,,,M6057,0,$34.01,0,1110,$57.81,$54.41,
